Simulation,Sensitivity,Specificity,Disease probability,MVD given disease,SVD given disease,QALY_NT,Cost_NT,QALY_EST,Cost_EST,QALY_ANG,Cost_ANG
1,0.891319492,0.90817534,0.629943345,0.614233347,0.385766653,7.757648436,778.3763447,5.518841992,5077.705484,8.499542745,3188.649145
2,0.853228845,0.927586872,0.654331106,0.666814307,0.333185693,7.479744134,749.4204834,6.055829118,5069.372742,8.792319359,3250.67289
3,0.834955653,0.899920056,0.711844793,0.772540367,0.227459633,6.835712202,682.2538502,5.910644045,5168.085608,9.450273911,3399.892952
4,0.810689968,0.888687657,0.625748803,0.663424366,0.336575634,7.659474288,768.9523213,6.285816465,4837.782849,8.867175446,3140.049828
5,0.850435225,0.87400297,0.62733957,0.718689406,0.281310594,7.512060007,754.305765,5.531437127,4890.293472,9.256484375,3110.499546
6,0.92029799,0.896729038,0.680895136,0.676300965,0.323699035,7.294854036,729.5063195,4.972793494,5317.209788,8.77386564,3348.845828
7,0.812517739,0.936507742,0.660937239,0.710400248,0.289599752,7.325569535,733.791617,6.477476399,4976.937761,9.097544329,3246.972218
8,0.824412815,0.864617822,0.537610359,0.71267121,0.28732879,8.081187629,816.10571,5.481312961,4476.929157,9.477463064,2764.489734
9,0.851687087,0.910123579,0.532622583,0.717330828,0.282669172,8.102117339,818.4844964,5.423591028,4531.912365,9.520404143,2742.473983
10,0.866208676,0.903970352,0.584478177,0.76609617,0.23390383,7.667559163,772.3439673,5.23127564,4739.40037,9.695232083,2914.982852
11,0.859147111,0.910093444,0.646753751,0.722233811,0.277766189,7.382587627,740.3094876,5.666844981,5006.454942,9.226808639,3183.717837
12,0.823421673,0.88401042,0.568064307,0.678240761,0.321759239,7.97091967,803.3106449,5.837652664,4625.211459,9.165100326,2903.465117
13,0.886768981,0.845117093,0.557449325,0.574976289,0.425023711,8.263985289,832.8969832,5.152346277,4745.07105,8.544845657,2921.191286
14,0.85245834,0.867879346,0.490600095,0.695982696,0.304017304,8.404059033,850.9206611,5.10025617,4350.493378,9.522513454,2589.628818
15,0.866443322,0.895667274,0.567648748,0.752397099,0.247602901,7.805993946,787.0621876,5.178396938,4675.045768,9.64593354,2858.320869
16,0.824481098,0.898386899,0.554035131,0.674891842,0.325108158,8.063013704,813.2800482,5.867155037,4581.435087,9.190742527,2850.174799
17,0.873291263,0.957760116,0.614040125,0.571200942,0.428799058,7.954731737,798.8236839,6.142695651,5024.200148,8.26320199,3152.325479
18,0.876537854,0.90863597,0.503652647,0.693178882,0.306821118,8.329938135,842.7861951,5.129126253,4470.880104,9.465548344,2642.213877
19,0.869565428,0.896715058,0.654893918,0.6237193,0.3762807,7.588628973,760.1296718,5.812567652,5120.843331,8.468921296,3282.065127
20,0.86246921,0.905398144,0.544219398,0.727074065,0.272925935,8.00919693,808.5864208,5.286068684,4591.634095,9.547295747,2782.161003
21,0.857338039,0.870425587,0.552494198,0.650097435,0.349902565,8.126785847,819.6698162,5.416055694,4638.079328,9.039913768,2858.264507
